Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-06-01,The Farewell,2019,https://boxd.it/1aYluz,5,,,2020-05-31
2021-07-06,A Quiet Place,2018,https://boxd.it/1YrvaD,,,,2021-07-06
2021-07-26,A Quiet Place,2018,https://boxd.it/21mJhZ,,Yes,,2021-07-25
2021-07-26,A Quiet Place Part II,2020,https://boxd.it/21mJyV,3.5,Yes,,2021-07-25
2021-08-16,Normal People,2020,https://boxd.it/24pl5N,5,,,2021-08-15
2021-10-25,Natural Born Killers,1994,https://boxd.it/2epUOX,4.5,,,2021-10-24
2022-01-31,Dune,2021,https://boxd.it/2xqbqJ,5,,,2021-11-03
2022-01-31,The French Dispatch,2021,https://boxd.it/2xqcSJ,3.5,,,2021-12-19
2022-01-03,Spider-Man: No Way Home,2021,https://boxd.it/2qCk6T,4.5,,,2021-12-20
2022-01-31,Don't Look Up,2021,https://boxd.it/2xqbcH,4,,,2021-12-25
2022-01-06,As Good as It Gets,1997,https://boxd.it/2ruwzL,4,,,2022-01-04
2022-01-31,Scream,2022,https://boxd.it/2xqahB,4,,,2022-01-17
2022-01-31,America Latina,2021,https://boxd.it/2xqapF,3,,,2022-01-23
2022-01-31,Drive My Car,2021,https://boxd.it/2xqaP9,5,,,2022-01-23
2022-01-31,Nightmare Alley,2021,https://boxd.it/2xqa0Z,3.5,,,2022-01-30
2022-02-14,The Power of the Dog,2021,https://boxd.it/2A07VD,3.5,,,2022-02-13
2022-02-21,Licorice Pizza,2021,https://boxd.it/2Be183,4,,,2022-02-21
2022-03-08,Kramer vs. Kramer,1979,https://boxd.it/2DQ81n,4.5,,,2022-03-06
2022-03-10,Belfast,2021,https://boxd.it/2EgwB7,3,,,2022-03-09
2022-03-30,The Worst Person in the World,2021,https://boxd.it/2I5fTd,4,,,2022-03-27
2022-04-03,OLIVIA RODRIGO: driving home 2 u (a SOUR film),2022,https://boxd.it/2IO66h,3,,,2022-03-30
2022-04-04,Luca,2021,https://boxd.it/2IYHfZ,5,,,2022-04-03
2022-04-11,CODA,2021,https://boxd.it/2K7rsP,3,,,2022-04-11
2022-04-20,Chicago,2002,https://boxd.it/2LJHR7,5,,,2022-04-18
2022-04-22,C'mon C'mon,2021,https://boxd.it/2M83nL,4,,,2022-04-21
2022-04-24,The Northman,2022,https://boxd.it/2MnZub,4,,,2022-04-22
2022-04-25,Encanto,2021,https://boxd.it/2MHk71,3,,,2022-04-24
2022-04-27,Fallen Angels,1995,https://boxd.it/2MY2VB,4,,,2022-04-25
2022-04-27,The Batman,2022,https://boxd.it/2N3awz,4.5,,,2022-04-26
2022-04-30,Before Sunrise,1995,https://boxd.it/2Nuh4B,4.5,,,2022-04-29
2022-05-16,Captain Fantastic,2016,https://boxd.it/2QlRIB,4,,,2022-05-15
2022-05-26,After,2019,https://boxd.it/2ShBoP,2,,,2022-05-19
2022-05-27,After We Collided,2020,https://boxd.it/2Ss7Rp,1,,,2022-05-26
2022-05-27,After We Fell,2021,https://boxd.it/2Ss7ZD,0.5,,,2022-05-26
2022-08-16,Dark Skies,2013,https://boxd.it/38wZ5L,2,,,2022-08-16
2022-08-16,Martyrs,2008,https://boxd.it/38wZ8v,4,,,2022-08-16
2022-08-16,The Cabin in the Woods,2011,https://boxd.it/38wZcR,4,,,2022-08-16
2022-08-20,Nope,2022,https://boxd.it/396UyP,3,,,2022-08-17
2022-08-20,Manhattan,1979,https://boxd.it/396UR3,5,,,2022-08-18
2022-08-31,Annie Hall,1977,https://boxd.it/3blA7R,5,,,2022-08-19
